tmdb_id,genre_id
116745,12
116745,35
116745,18
116745,14
769,18
769,80
350,35
350,18
350,10749
8373,878
8373,28
8373,12
608,28
608,12
608,35
608,878
58595,12
58595,14
58595,18
146233,18
146233,53
146233,80
13223,18
138843,27
138843,53
11036,10749
11036,18
82702,14
82702,28
82702,12
82702,16
82702,35
82702,10751
605,12
605,28
605,53
605,878
294254,28
5915,12
5915,18
91314,878
91314,28
91314,12
137106,12
137106,16
137106,35
137106,10751
137106,14
198184,80
198184,28
198184,878
1417,14
1417,18
1417,10752
310,14
310,35
73,18
453,18
453,10749
1724,878
1724,28
1724,12
6977,80
6977,18
6977,53
809,12
809,16
809,35
809,10751
809,14
62,878
62,9648
62,12
84892,18
84892,10749
138832,35
138832,80
8960,14
8960,28
787,28
787,35
787,18
787,53
75780,80
75780,18
75780,53
72559,12
72559,28
72559,878
72559,53
9738,28
9738,12
9738,14
9738,878
950,16
950,10751
950,35
950,12
83542,18
83542,878
10020,10749
10020,10751
10020,16
10020,14
10020,10402
111,28
111,80
111,18
111,53
254128,28
254128,18
254128,53
10764,12
10764,28
10764,53
10764,80
117263,28
117263,53
115,35
115,80
510,18
156022,53
156022,28
156022,80
19913,35
19913,18
19913,10749
109439,35
196,12
196,35
196,10751
196,878
27578,53
27578,12
27578,28
278927,10751
278927,12
278927,18
278927,14
152532,18
152532,36
107,53
107,80
1593,28
1593,12
1593,35
1593,10751
1593,14
76163,28
76163,12
76163,53
2503,28
2503,18
2503,9648
2503,53
12405,18
12405,10749
110415,28
110415,878
110415,18
158852,12
158852,10751
158852,9648
158852,878
20526,12
20526,28
20526,878
13183,28
13183,9648
13183,878
489,18
2502,28
2502,18
2502,53
168672,18
168672,80
39514,28
39514,12
39514,35
39514,80
39514,53
87,12
87,28
652,12
652,18
652,10752
264644,18
264644,53
45269,18
45269,36
76757,878
76757,14
76757,28
76757,12
564,12
564,28
564,14
207,18
82675,28
82675,80
82675,53
591,53
591,9648
195589,35
187,28
187,53
187,80
45612,53
45612,878
45612,9648
314365,18
314365,53
314365,36
39254,28
39254,878
39254,18
627,18
627,80
57800,16
57800,35
57800,12
57800,10751
411,12
411,10751
411,14
82654,27
82654,35
82654,10749
49040,28
49040,53
318846,35
318846,18
954,12
954,28
954,53
98566,878
98566,28
98566,12
98566,14
98566,35
296096,18
296096,10749
44115,12
44115,18
44115,53
180,28
180,53
180,878
180,9648
1979,12
1979,14
1979,28
1979,53
188927,28
188927,12
188927,878
81005,28
81005,10751
81005,14
296098,53
296098,18
103,80
103,18
578,27
578,53
578,12
50619,12
50619,14
50619,10749
76492,16
76492,35
76492,10751
76492,14
1402,18
600,18
600,10752
238713,28
238713,35
238713,80
256591,10749
256591,35
256591,80
256591,18
8909,28
8909,53
8909,80
82700,878
82700,28
82700,12
257344,28
257344,35
257344,878
217,12
217,28
277,14
277,28
277,53
44912,12
44912,28
44912,53
44912,878
854,10749
854,35
854,80
854,14
47933,28
47933,12
47933,878
95,28
95,53
95,878
95,12
64635,28
64635,878
64635,12
64635,53
333371,53
333371,878
333371,18
330,12
330,28
330,878
641,80
641,18
214756,35
50646,35
50646,18
50646,10749
70,18
18239,12
18239,14
18239,18
18239,10749
534,28
534,878
534,53
37686,53
37686,878
37686,9648
109424,28
109424,18
109424,53
51497,28
51497,53
51497,80
258489,28
258489,12
771,35
771,10751
747,27
747,35
65754,53
65754,80
65754,9648
65754,18
63,878
63,53
63,9648
273481,28
273481,80
273481,18
273481,9648
273481,53
435,28
435,12
435,878
435,53
772,35
772,10751
772,12
772,80
87502,18
49519,12
49519,16
49519,35
49519,10751
49519,14
49017,27
49017,28
49017,18
49017,14
49017,10752
53182,28
53182,10752
620,35
620,14
13804,28
13804,80
13804,18
13804,53
150689,10749
150689,14
150689,10751
150689,18
8844,12
8844,14
8844,10751
86834,18
86834,12
539,18
539,27
539,53
254,12
254,18
254,28
10625,35
74,12
74,53
74,878
109414,28
109414,35
324668,28
324668,53
97020,28
97020,878
62213,35
62213,14
24021,12
24021,14
24021,18
24021,10749
290250,28
290250,35
290250,80
290250,53
9487,12
9487,16
9487,35
9487,10751
9543,12
9543,14
9543,28
9543,10749
429,37
57201,28
57201,12
57201,37
137,10749
137,14
137,18
137,35
2105,35
2105,10749
810,14
810,12
810,16
810,35
810,10751
80274,878
80274,28
80274,12
1372,18
1372,53
1372,28
51540,35
51540,80
228967,28
228967,35
157353,53
157353,878
157353,18
157353,9648
35,16
35,35
35,10751
8355,16
8355,35
8355,10751
8355,12
68735,28
68735,12
68735,14
166424,28
166424,12
166424,878
22970,27
22970,53
7326,35
7326,18
7326,10749
96721,18
96721,28
114150,35
114150,10402
114150,10749
50544,10749
50544,35
203801,35
203801,28
203801,12
225574,28
225574,53
225574,9648
7191,28
7191,53
7191,878
37735,35
18823,12
18823,14
18823,28
1487,14
1487,28
1487,878
59859,28
59859,12
59859,80
1734,12
1734,28
1734,14
176,27
176,9648
176,80
4638,80
4638,28
4638,35
1995,12
1995,14
1995,28
1995,53
260346,53
260346,28
46195,16
46195,12
46195,35
46195,10751
20504,28
20504,53
20504,878
43074,28
43074,14
43074,35
44826,12
44826,18
44826,10751
2108,35
2108,18
22538,28
22538,12
22538,35
13448,53
13448,9648
296,28
296,53
296,878
49529,28
49529,12
49529,878
163,53
163,80
9339,35
9339,18
9339,14
9339,10749
1824,35
1824,10749
8363,35
268,14
268,28
44833,53
44833,28
44833,12
44833,878
122906,35
122906,18
122906,878
9479,14
9479,16
9479,10751
389,18
106,878
106,28
106,12
106,53
1359,53
1359,18
1359,80
27576,28
27576,9648
27576,53
1571,28
1571,53
9693,18
9693,28
9693,53
9693,878
1954,878
1954,53
28,18
28,10752
307081,28
307081,18
331,12
331,28
331,53
331,878
1576,27
1576,28
1576,878
17578,12
17578,16
17578,9648
1572,28
1572,53
44896,16
44896,35
44896,10751
44896,37
44896,12
11321,18
10674,16
10674,10751
10674,12
49013,16
49013,10751
49013,12
49013,35
584,28
584,80
584,53
275,80
275,18
275,53
1949,80
1949,18
1949,9648
1949,53
32657,12
32657,14
32657,10751
80278,53
80278,18
87421,878
87421,28
87421,53
587,12
587,14
587,18
956,12
956,28
956,53
49849,28
49849,878
49849,53
49849,37
293863,14
293863,18
293863,10749
4935,14
4935,16
4935,12
59436,14
59436,35
59436,10749
9552,18
9552,27
9552,53
128,12
128,14
128,16
298,80
298,53
18360,12
18360,14
18360,28
18360,35
18360,10751
10192,35
10192,12
10192,14
10192,16
10192,10751
6957,35
6957,10749
259693,27
644,18
644,878
644,12
85350,18
238636,27
238636,53
670,18
670,53
670,9648
670,28
254470,35
254470,10402
286565,18
286565,9648
286565,10749
9741,878
9741,53
9741,18
14869,12
14869,28
14869,53
14869,878
81188,14
81188,16
81188,10751
594,35
594,18
2059,12
2059,28
2059,53
2059,9648
408,14
408,16
408,10751
49049,28
49049,878
206487,878
206487,53
38055,16
38055,28
38055,35
38055,10751
38055,878
955,12
955,28
955,53
50014,18
76726,878
76726,18
76726,53
3131,18
3131,36
3131,80
312221,18
3933,10749
3933,14
3933,16
3933,10402
147441,12
147441,18
147441,28
36647,27
36647,28
9654,28
9654,80
616,18
616,28
616,10752
616,36
153,18
423,18
423,10752
257211,35
49444,16
49444,10751
82695,18
82695,10402
82695,10749
10144,16
10144,10751
1573,28
1573,53
508,35
508,10749
508,18
117251,28
117251,18
117251,53
8467,35
270303,27
270303,53
181533,12
181533,35
181533,14
181533,10751
242224,18
242224,53
242224,27
949,28
949,80
949,18
949,53
52520,14
52520,28
52520,27
12162,18
12162,53
12162,10752
10201,35
10527,10751
10527,16
72710,28
72710,12
72710,10749
72710,878
72710,53
227156,18
227156,878
18240,35
18240,10749
18240,18
80321,16
80321,10751
8247,12
8247,14
8247,878
598,18
598,80
782,53
782,878
782,9648
782,10749
1366,18
561,18
561,14
561,27
676,36
676,10749
676,10752
855,28
855,36
855,10752
17431,878
17431,18
138103,28
138103,12
138103,53
39513,12
39513,35
39513,878
107985,35
107985,28
107985,878
170,27
170,53
170,878
1637,28
1637,12
1637,80
1635,28
1635,53
1635,878
1635,12
2787,53
2787,878
2787,28
114,10749
114,35
82682,80
82682,18
82682,28
82682,53
253412,12
253412,18
22794,16
22794,35
22794,10751
13053,16
13053,10751
13053,12
13053,35
9325,10751
9325,16
