tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,release_year,original_language,runtime,status,budget,revenue,popularity,vote_average,vote_count,adult
229297,tt2870756,Magic in the Moonlight,Magic in the Moonlight,"Set in the 1920s French Riviera, a master magician is commissioned to try and expose a psychic as a fraud.",,2014-07-25,2014,en,97.0,Released,16800000,51029361.0,6.626077,6.5,749.0,0
16614,tt1091722,Adventureland,Adventureland,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.",Nothing brings people together like a crappy summer job.,2009-04-03,2009,en,107.0,Released,9500000,17164377.0,6.77887,6.4,748.0,0
59678,tt1478964,Attack the Block,Attack the Block,A teen gang in a grim South London housing estate must team up with the other residents to protect their neighbourhood from a terrifying alien invasion.,Inner City vs. Outer Space,2011-05-12,2011,en,88.0,Released,14350531,3964682.0,9.93263,6.3,748.0,0
872,tt0045152,Singin' in the Rain,Singin' in the Rain,"In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her.",What a Glorious Feeling!,1952-04-10,1952,en,103.0,Released,2540800,7200000.0,11.064858,7.9,747.0,0
3558,tt0172493,"Girl, Interrupted","Girl, Interrupted","Set in the changing world of the late 1960's, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.","The crazy thing is, you're not crazy.",1999-12-21,1999,en,127.0,Released,40000000,0.0,8.285062,7.6,747.0,0
9361,tt0104691,The Last of the Mohicans,The Last of the Mohicans,"As the English and French soldiers battle for control of the American colonies in the 18th century, the settlers and native Americans are forced to take sides. Cora and her sister Alice unwittingly walk into trouble but are reluctantly saved by Hawkeye, an orphaned settler adopted by the last of the Mohicans.",The first American hero.,1992-09-25,1992,en,112.0,Released,40000000,75505856.0,15.228794,7.1,747.0,0
179144,tt2358891,The Great Beauty,La grande bellezza,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",,2013-05-21,2013,it,142.0,Released,12400000,8371085.0,8.176134,7.3,745.0,0
62838,tt1598822,New Year's Eve,New Year's Eve,The lives of several couples and singles in New York intertwine over the course of New Year's Eve.,The one night anything is possible.,2011-12-08,2011,en,118.0,Released,56000000,142044638.0,6.948818,5.7,744.0,0
169,tt0100403,Predator 2,Predator 2,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",Silent. Invisible. Invincible. He's in town with a few days to kill.,1990-11-20,1990,en,108.0,Released,35000000,57120318.0,11.736241,6.0,743.0,0
1262,tt0420223,Stranger Than Fiction,Stranger Than Fiction,"Everybody knows that your life is a story. But what if a story was your life? Harold Crick is your average IRS agent: monotonous, boring, and repetitive. But one day this all changes when Harold begins to hear an author inside his head narrating his life. But when the narration reveals he is going to die, Harold must find the author and convince them to change the ending.",Harold Crick isn't ready to go. Period.,2006-09-09,2006,en,113.0,Released,30000000,53653224.0,10.798092,7.1,743.0,0
11283,tt0396752,Nanny McPhee,Nanny McPhee,"Widower Cedric Brown (Colin Firth) hires Nanny McPhee (Emma Thompson) to care for his seven rambunctious children, who have chased away all previous nannies. Taunted by Simon (Thomas Sangster) and his siblings, Nanny McPhee uses mystical powers to instill discipline. And when the children's great-aunt and benefactor, Lady Adelaide Stitch (Angela Lansbury), threatens to separate the kids, the family pulls together under the guidance of Nanny McPhee.",You'll Learn To Love Her. Warts And All.,2005-10-21,2005,en,97.0,Released,25000000,122489822.0,9.806554,6.4,742.0,0
1955,tt0080678,The Elephant Man,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",I am not an animal! I am a human being! I... am... a man!,1980-10-02,1980,en,124.0,Released,5000000,26010864.0,8.405672,7.9,740.0,0
339527,tt1291570,Solace,Solace,"A psychic doctor, John Clancy, works with an FBI special agent in search of a serial killer. After having lived in isolation for two years, since the death of his daughter, Clancy is asked by his friend Joe, an FBI special agent to help him solve several murders committed by a serial killer.","A serial killer who can see your future, a psychic who can save it",2015-09-03,2015,en,101.0,Released,0,22586863.0,12.642675,6.2,740.0,0
192,tt0091605,The Name of the Rose,The Name of the Rose,"14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.","Who, in the name of God, is getting away with murder?",1986-09-24,1986,en,130.0,Released,20000000,77200000.0,11.469751,7.2,739.0,0
2976,tt0427327,Hairspray,Hairspray,"Pleasantly plump teenager, Tracy Turnblad and her best friend, Penny Pingleton audition to be on The Corny Collins Show – and Tracy wins. But when scheming Amber Von Tussle and her mother plot to destroy Tracy, it turns to chaos.","When you follow your own beat, the world will follow you.",2007-07-13,2007,en,117.0,Released,50000000,90450008.0,7.768045,6.5,738.0,0
