person_id,name,gender,profile_path
10774,Anne Bancroft,1,/4VMhut6tvXqXBmMGFRjXbbImAZW.jpg
4057,Adam Weiss,2,
53839,Hummie Mann,0,
53840,Michael D. O'Shea,2,
59979,Peter Schindler,2,
67674,Rudy De Luca,0,/93Tmn57Jv3qCebO0H8tM8nEICGn.jpg
71303,Steve Haberman,0,
4724,Kevin Bacon,2,/bMVujB1SaHhXD5gQdO4Xf47WXD3.jpg
382,Bob Hoskins,2,/mIgAC6q5HcHHxZUIiCOvE6mHLGs.jpg
2233,Bridget Fonda,1,/yWxhdN59eksIqyBHdjUcLRgCIaI.jpg
12077,Jim Cummings,2,/i9frXvIJsGtoFikBEFVqE7uN8Bq.jpg
110001,Phil Collins,2,/eKEZE5yrSnimQ8Eq75G7wSEemkh.jpg
67386,Juliette Brewer,0,
19545,Jack Angel,2,/qYvR57QBtXpdvj1jm2a8hjh7E4L.jpg
52699,Danny Mann,2,/28JtvJrUIcHM4s8HV84ncxPD7Uv.jpg
77157,Robbie Rist,2,/bFpVHAJNNKOPQ230ALYLepwm1yE.jpg
176254,Sandra Dickinson,1,
15831,Frank Welker,2,/b3gImArbw13mMKJIe9leFc9YYb7.jpg
6199,Miriam Margolyes,1,/7Fijg5sZ7gKbooq6tId3MUS5sDY.jpg
1592266,Lola Bates-Campbell,0,
488,Steven Spielberg,2,/pOK15UNaw75Bzj7BQO1ulehbPPm.jpg
489,Kathleen Kennedy,1,/6rGtk7OdbkO2QDM2OQxt9Blww3O.jpg
12061,Roger S.H. Schulman,2,
21879,Simon Wells,2,/sfartDj5d9bclP91YuunnaL7Fer.jpg
106850,Elana Lesser,1,
570268,Cliff Ruby,0,
991160,David Steven Cohen,2,
1205985,Stephan Franck,0,
1447385,Jean-Francois Rey,0,
1447593,Mick De Falco,0,
4173,Anthony Hopkins,2,/jdoBTIru71FbPuHGEgox5RVmIO0.jpg
11148,Joan Allen,1,/Atg0mSjK9Dl98YBsFvBuGO8PG5m.jpg
228,Ed Harris,2,/atzm7ZGRFSWJHQT6qKmzjmNQ9GA.jpg
5249,E.G. Marshall,2,/iQnivIob2OiXuVCepECf72xS2tQ.jpg
11076,David Hyde Pierce,2,/96qVGJhtV6tQkXmJVmbi6BBk1Ll.jpg
7004,Paul Sorvino,2,/exgIZR8So9SOuivI1EjyNKPflzT.jpg
2453,Mary Steenburgen,1,/yJhfuqS3yXW7kLSyvRU6n3b35mq.jpg
22131,J.T. Walsh,2,/39KZjhJSyDjvBhKGj0IbGVteFAm.jpg
4512,James Woods,2,/fl5Jx1WFvBcg1b9VZRfXTH6LPUE.jpg
70843,Brian Bedford,2,/sihqrrqI4bQT3fjnBmrLyPe12wl.jpg
14721,Kevin Dunn,0,/85thH2pUn2tPP97QhnYQI7MBiCW.jpg
56687,Fyvush Finkel,2,/p4MbyDNv0PC987XYFHc7h6cBth3.jpg
1152,Oliver Stone,2,/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg
5379,Dan Halsted,2,
17786,Stephen J. Rivele,2,
149,Robert Richardson,2,/9tLrDHL9qL9yYIhcJVaINwnzmWN.jpg
3189,Brian Berdan,2,
16935,Geena Davis,1,/6b8cRJOItz7yNpYuLCPkl5kv4m2.jpg
8654,Matthew Modine,2,/tEQG1Us5IuoKYtufZe6waWtxfeg.jpg
8924,Frank Langella,2,/wMlcjLBQouQjE0iceseNTxUF3BF.jpg
7868,Maury Chaykin,2,/jhJgkb5P0oAW7QtULjqD2kaN0ez.jpg
8979,Patrick Malahide,2,/pv65v8oEhLo0ibCz1K23UCoKMuS.jpg
16936,Stan Shaw,2,/2KUPUQQFmc8Zyzf16uaiYmVrNvX.jpg
16937,Rex Linn,2,/2ze2PNirf4vle9sWRkSxHgv1iH0.jpg
13925,Paul Dillon,2,/6jouXtMcbJ7nTuDNwvaePnqCHTX.jpg
35769,Christopher Masterson,2,/gz0GFQmLLjo6Q9Gvf1rKdZd2XhM.jpg
133771,Jimmie F. Skaggs,0,
1166,Harris Yulin,2,/MCW4IR3mEB6oeRbX9bfeHkZ3qm.jpg
127166,Carl Chase,2,/3HLdJB6ZQNi3DK4Ix9FXZ0a67K8.jpg
1220350,Peter Geeves,0,
1252814,Angus Wright,0,/jcVb6Z421Z3zshe9R7dCOn2NpO9.jpg
91662,Ken Bones,2,/fA5B1EMFzgRzUr8K07iwYi3JwV8.jpg
2044,Peter Levy,2,
8383,Maggie Gray,1,
391,Norman Garwood,2,
3986,Mario Kassar,2,
7228,Joel B. Michaels,2,
6044,Mindy Marin,1,/qzqo2SyYdwb3CKeLuUMXBJneWEe.jpg
10685,Laurence Mark,2,/fkqSdA5JyxMZwhb2qLzAHI2AUMO.jpg
14590,Enrico Sabbatini,0,
16938,Renny Harlin,2,/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg
4430,Sharon Stone,1,/m57fGJemBTpsjydGlaZJywlIWz4.jpg
4517,Joe Pesci,2,/2CaYAhUZgkAeqtpIzuqGcqArsOy.jpg
7169,Alan King,2,/gYtn6UNocRfxISIAKmUfRxl7zOr.jpg
7165,Pasquale Cajano,0,/bfRFoTvD2aVthXu912e8rkEzS6z.jpg
8262,L.Q. Jones,2,/jhPsFq7qYT2QKc4FO70fqxgfpXs.jpg
166789,Dick Smothers,2,/lwQKlZHqUjJw4JcoxSPeGAUraRV.jpg
7164,Frank Vincent,2,/c9OXdbBROqUNtrtYBmuei1SeSkh.jpg
7424,Oscar Goodman,2,/9YTT2HozwL6g01HuBezUBUdO3IA.jpg
18262,Richard Riehle,2,/fFFjfOX7BUsfBQQP54K8QEkkEC2.jpg
11483,Catherine Scorsese,1,/rXFjIQVimKotQUtXwVNGg7XVMeW.jpg
7168,Vinny Vella,2,/bS0yz7PyNJ9f8Kwc4qVWm4NxDfz.jpg
1032,Martin Scorsese,2,/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg
7170,Barbara De Fina,1,
3661,Thelma Schoonmaker,1,/mGhfN5gVg9U3iitLcCM3l4Bix4o.jpg
2242,Ellen Lewis,1,
2366,Dante Ferretti,2,/nKAB8edn2JxVpnyfQAvfQnDJkVd.jpg
7163,Nicholas Pileggi,2,/foeXjiH70O5xiGHfli7UhfXxcy4.jpg
7531,Joseph P. Reidy,2,/3bZ4HUh4JFPKo1yw2XDYjMmwj6m.jpg
204,Kate Winslet,1,/w8wjPbS24vPErNeYhAvtbyAUBMd.jpg
7056,Emma Thompson,1,/cWTBHN8kLf6yapxiaQD9C6N1uMw.jpg
3291,Hugh Grant,2,/r3rSJLJwKmsJyPA3gojzuMthJ4C.jpg
207,Tom Wilkinson,2,/4mxZKgdem0sQ8hJd0Y7TREwq7TJ.jpg
4566,Alan Rickman,2,/7tADZs4ILE93oJ5pAh6mKQFEq2m.jpg
20769,Imogen Stubbs,1,/osr7TepyQdENiyy4iYi8zfWzIx.jpg
16700,Greg Wise,2,/A4u37pRp9MakKBhiIblXSCJEk33.jpg
41419,Hugh Laurie,2,/3qCmEHtq5fBW8dbzsYDSy16Zqb0.jpg
11356,Imelda Staunton,1,/mKlkh0AuYPD5HjmnlrW0uPm5QvJ.jpg
23076,Robert Hardy,2,/y6NTr4kw3mNQnPmvhs4XMiFT8v5.jpg
31923,Oliver Ford Davies,2,/7fpNxQYZ85oRdnKWxPzQfURFkFT.jpg
10726,James Fleet,2,/eS2oKgYBTwgko5cYSvKLIARTZJO.jpg
17477,Harriet Walter,1,/vfpIPsC27D1ONVres7j3DgWYzdN.jpg
9138,Gemma Jones,1,/doDUez5AkN0bfqmZWB0bKO9mcJe.jpg
937907,Emilie François,0,
1614,Ang Lee,2,/uTX0uIBLl3JIQunuAMDRHLorffh.jpg
32982,Jane Austen,1,
11058,Lindsay Doran,1,
9152,Patrick Doyle,2,/mo87kZiHO5gsoax80Us0S2CPmS.jpg
7021,Michael Coulter,2,
948439,Laurie Borg,0,
3129,Tim Roth,2,/r4jtlboNqWPz2dOHafrPJE4Yd94.jpg
3131,Antonio Banderas,2,/85197jARsr06xQ84NhP9YoBL3sR.jpg
3130,Jennifer Beals,1,/uYa9mUAh3YeFlACaY0rI0Oz7pRf.jpg
3125,Madonna,1,/oWBpuX3Bxcp6pyP4KNKws0JibDD.jpg
3141,Marisa Tomei,1,/w8qBpRcv04D5eSnnmvRL7PXyW36.jpg
62,Bruce Willis,2,/2B7RySy2WMVJKKEFN2XA3IFb8w0.jpg
138,Quentin Tarantino,2,/9ci4NBvHXJktxjALdJsrtasqgtV.jpg
3122,Sammi Davis,1,/1h6J7f0AZBGtn1kmfoipQVFZBaQ.jpg
3123,Amanda de Cadenet,1,/m6poxt6GFglku6yregZH7NxElET.jpg
3124,Valeria Golino,1,/fD4N460T7Yw8VTDG4YgoMSdMqhU.jpg
3127,Lili Taylor,1,/pIJ4Enx6kIC9srLkDfGpEzfNlDZ.jpg
2545,Lawrence Bender,2,/5EzlP8qdCYQrhqEYB2MTmY74KFB.jpg
3126,Ione Skye,1,/oiVKhuD2s4kNVnnAYUICtCjdzoC.jpg
3128,Alicia Witt,1,/pmKMhehztGEv2i7PPY20nP68j0f.jpg
2555,David Proval,2,/ujBzP61tYlwqWpB3oOxknl1XuEg.jpg
3116,Combustible Edison,0,
3117,Gary Frutkoff,2,
3119,Lance Brown,0,
3110,Allison Anders,1,/rsfxpcNEdmNqZyNcct0J695LhBK.jpg
3111,Alexandre Rockwell,2,
2294,Robert Rodriguez,2,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg
206,Jim Carrey,2,/5tVf0ow8MX4OwjmVoSa5v7qUDka.jpg
3547,Ian McNeice,2,/v217qBNPrwNBvcu9F3BVBPE0AwM.jpg
4001,Simon Callow,2,/pOABmGHa7h1CQ1oG4Q6PyuCbwqL.jpg
57096,Maynard Eziashi,2,/zSxucY5ua1EnrVoKJD97BuqJGvw.jpg
4029,Bob Gunton,2,/b3NfI0IzPYI40eIEtO9O0XQiR8j.jpg
2598,Sophie Okonedo,1,/5Yo3KGum1txRLmt6JZwQ5TYSIsg.jpg
88059,Tommy Davidson,2,/q0f7F4jYfZ5XvcaeBxtbQlfltLX.jpg
31164,Adewale Akinnuoye-Agbaje,2,/lnFcwjgNDNRzQ8yC1HPDIBRBwBh.jpg
1080060,Danny D. Daniels,0,
1080061,Sam Motoana Phillips,0,/rJrBTHb3LHFrFo0uydYVhRxKl8c.jpg
172354,Damon Standifer,2,
158324,Andrew Steel,2,
27752,Bruce Spence,2,/pwJJBmO9MG3OxVX9efGrB6BTFyw.jpg
171303,Tom Grunke,0,
